contract_address,chain,protocol,method_id,method,absolute_executions,%,cum %
0x885fce983b6a01633f764325b8c3c5d31032c995,eth,?,0x8b9e4f93,,147,0.08%,50.59%
0x284184d487f06e54b7dc3b93549f95ba82ecb78a,base,?,0x1e83409a,,146,0.08%,50.66%
0x981f198286e40f9979274e0876636e9144b8fb8e,zksync,?,0x5b7d7482,,146,0.08%,50.74%
0xbbee07b3e8121227afcfe1e2b82772246226128e,arb,vertex,0x8e5d588c,,145,0.08%,50.81%
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,linea,kyberswap,0xe21fd0e9,,144,0.07%,50.89%
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,matic,kyberswap,0xe21fd0e9,,144,0.07%,50.96%
0x2ec705d306b51e486b1bc0d6ebee708e0661add1,eth,?,0x7ff36ab5,swap,143,0.07%,51.04%
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,paraswap,0xa6886da9,,143,0.07%,51.11%
0x9e6ef7f75ad88d4edb4c9925c94b769c5b0d6281,arb,galxe,0x2e4dbe8f,,143,0.07%,51.19%
0xffdf4fe05899c4bdb1676e958fa9f21c19ecb9d5,matic,?,0xcfc93274,,140,0.07%,51.26%
0x7e0f687d82d05adb99d196cd8e342f042803a4b6,base,baseswap,0x20f8e94e,claim,140,0.07%,51.33%
0x8731d54e9d02c286767d56ac03e8037c07e01e98,eth,stargate,0x9fbf10fc,bridge swap,137,0.07%,51.40%
0x109cc0f2640457b2a483c2eef189827750a676bb,base,aerodrome,0xc00007b0,claim,137,0.07%,51.47%
0x1111111254eeb25477b68fb85ed929f73a960582,matic,1inch,0x12aa3caf,swap,136,0.07%,51.54%
0x141a1fb33683c304da7c3fe6fc6a49b5c0c2dc42,matic,pandra,0x1249c58b,,136,0.07%,51.61%
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0xa8174404,fulfill order,136,0.07%,51.69%
0x39da41747a83aee658334415666f3ef92dd0d541,eth,blur,0x9a2b8115,,135,0.07%,51.76%
0x009a0b7c38b542208936f1179151cd08e2943833,linea,layerbank,0xf2b9fdb8,lend,135,0.07%,51.83%
0x235c1fcd169a7e6ffca463f9c22d88beceeba62b,eth,?,0xf83b0386,?,134,0.07%,51.90%
0xc6be40f6a14d4c2f3aadf9b02294b003e3967779,bsc,thena,0x379607f5,claim,133,0.07%,51.96%
0x29469395eaf6f95920e59f858042f0e28d98a20b,eth,blur blend,0x4658ad62,,132,0.07%,52.03%
0xb67c152e69217b5acb85a2e19df13423351b0e27,op,pika,0x7284432a,,131,0.07%,52.10%
0x032b241de86a8660f1ae0691a4760b426ea246d7,linea,izumi finance,0xac9650d8,multicall,130,0.07%,52.17%
