contract_address,chain,protocol,method_id,method,unique_executions,%,cum %,,,,,,,,,,
0xaaaaaaaaa24eeeb8d57d431224f73832bc34f688,eth,ambient,0x3d719cd9,swap,32,0.08%,23.90%,,,,,,,,,,
0x742b70151cd3bc7ab598aaff1d54b90c3ebc6027,eth,redacted cartel,0x312ff839,relock,32,0.08%,23.98%,,,,,,,,,,
0x4cf76043b3f97ba06917cbd90f9e3a2aac1b306e,base,uniswap,0x18cbafe5,swap,32,0.08%,24.06%,,,,,,,,,,
0x87a218ae43c136b3148a45ea1a282517794002c8,bsc,pandra,0x1249c58b,,31,0.08%,24.13%,,,,,,,,,,
0x3a23f943181408eac424116af7b7790c94cb97a5,op,socket,0x00000184,,31,0.08%,24.21%,,,,,,,,,,
0x009a0b7c38b542208936f1179151cd08e2943833,linea,layerbank,0xf2b9fdb8,lend,31,0.08%,24.29%,,,,,,,,,,
0xdef1abe32c034e558cdd535791643c58a13acc10,op,0x,0x415565b0,,31,0.08%,24.36%,,,,,,,,,,
0x8731d54e9d02c286767d56ac03e8037c07e01e98,linea,stargate,0x1114cd2a,,31,0.08%,24.44%,,,,,,,,,,
0x9e6ef7f75ad88d4edb4c9925c94b769c5b0d6281,arb,galxe,0x2e4dbe8f,,31,0.08%,24.52%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x706394d5,,31,0.08%,24.60%,,,,,,,,,,
0x036676389e48133b63a802f8635ad39e752d375d,eth,kelpdao,0xc3ae1766,,31,0.08%,24.67%,,,,,,,,,,
0x5550d13389bb70f45fcef58f19f6b6e87f6e747d,eth,sushiswap,0x2646478b,,31,0.08%,24.75%,,,,,,,,,,
0xc873fecbd354f5a56e00e710b90ef4201db2448d,arb,camelot,0xac3893ba,swap,31,0.08%,24.83%,,,,,,,,,,
0x3ee18b2214aff97000d974cf647e7c347e8fa585,eth,wormhole,0xc6878519,completeTransfer,30,0.07%,24.90%,,,,,,,,,,
0xea8dfee1898a7e0a59f7527f076106d7e44c2176,arb,stargate,0x441a3e70,,30,0.07%,24.98%,,,,,,,,,,
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,linea,kyberswap,0xe21fd0e9,,30,0.07%,25.05%,,,,,,,,,,
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,matic,openocean,0x90411a32,swap,30,0.07%,25.13%,,,,,,,,,,
0x032b241de86a8660f1ae0691a4760b426ea246d7,linea,izumi finance,0xac9650d8,multicall,30,0.07%,25.20%,,,,,,,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,eth,1inch,0x2d9a56f6,cancel,29,0.07%,25.27%,,,,,,,,,,
0xe83a951b6346de3f8f7f29aa97df825be7346c6f,eth,lootbot,0x4e71d92d,,29,0.07%,25.35%,,,,,,,,,,
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,eth,lifi,0x1fd8010c,,29,0.07%,25.42%,,,,,,,,,,
0x754e78bc0f7b487d304552810a5254497084970c,matic,phi claim,0x0c01a2fd,,29,0.07%,25.49%,,,,,,,,,,
0x0000000000664ceffed39244a8312bd895470803,eth,shitcoin,0xb510391f,-,29,0.07%,25.56%,,,,,,,,,,
0xa062ae8a9c5e11aaa026fc2670b0d65ccc8b2858,op,velodrome,0xc6b7f1b6,swap,29,0.07%,25.64%,,,,,,,,,,
0x5d22045daceab03b158031ecb7d9d06fad24609b,eth,rhino.fi,0x00aeef8a,deposit,29,0.07%,25.71%,,,,,,,,,,
0x7c68c7866a64fa2160f78eeae12217ffbf871fa8,arb,?,0xac9650d8,multicall,28,0.07%,25.78%,,,,,,,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,base,1inch,0x12aa3caf,swap,28,0.07%,25.85%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,eth,0x,0x0f3b31b2,,28,0.07%,25.92%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,arb,paraswap,0x2298207a,,28,0.07%,25.99%,,,,,,,,,,
0x9dda6ef3d919c9bc8885d5560999a3640431e8e6,arb,metamask,0x5f575529,,28,0.07%,26.06%,,,,,,,,,,
0x3a23f943181408eac424116af7b7790c94cb97a5,base,socket,0x00000188,,28,0.07%,26.13%,,,,,,,,,,
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,base,aerodrome,0x5a47ddc3,deposit,28,0.07%,26.20%,,,,,,,,,,
0xe47bb08ff23bed7e5c67739c2d420b40188c6961,eth,euler?,0x02327c0a,,28,0.07%,26.27%,,,,,,,,,,
0x327df1e6de05895d2ab08513aadd9313fe505d86,base,pancakeswap,0x791ac947,swap,28,0.07%,26.34%,,,,,,,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,op,1inch,0xe449022e,,28,0.07%,26.41%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,bsc,0x,0x415565b0,,28,0.07%,26.48%,,,,,,,,,,
0xb1e69773b35a7785a87dea6f010af155102f282d,eth,grid,0x7ebbc073,,28,0.07%,26.55%,,,,,,,,,,
0xba12222222228d8ba445958a75a0704d566bf2c8,arb,balancer,0x52bbbe29,swap,28,0.07%,26.62%,,,,,,,,,,
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,base,aerodrome,0x903638a4,swap,28,0.07%,26.69%,,,,,,,,,,
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,op,uniswap,0x3593564c,swap,28,0.07%,26.76%,,,,,,,,,,
0xa906f338cb21815cbc4bc87ace9e68c87ef8d8f1,arb,gmx,0x30b70002,claim/stake,27,0.07%,26.82%,,,,,,,,,,
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,arb,lifi,0xbe1eace7,,27,0.07%,26.89%,,,,,,,,,,
0x80d40e32fad8be8da5c6a42b8af1e181984d137c,arb,aevo,0x864f6a7a,deposit,27,0.07%,26.96%,,,,,,,,,,
0xc9cca8e570f81a7476760279b5b19cc1130b7580,base,shitcoin,0x84bb1e42,,27,0.07%,27.03%,,,,,,,,,,
0xf8b59f3c3ab33200ec80a8a58b2aa5f5d2a8944c,zksync,?,0x5ae401dc,,27,0.07%,27.09%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,matic,0x,0x415565b0,,27,0.07%,27.16%,,,,,,,,,,
0x5d82183db96e55a5f2caee691728584cd4a037e1,base,?,0x8f1bf04d,,27,0.07%,27.23%,,,,,,,,,,
0xe5b68556c12f37fa12f15ae87ea32f15a8c4e7b9,arb,shitcoin,0x84bb1e42,claim,27,0.07%,27.30%,,,,,,,,,,
0x724796d2e9143920b1b58651b04e1ed201b8cc98,base,symmio,0x2ad26a04,addAccount,27,0.07%,27.36%,,,,,,,,,,
0xe87753eb91d6a61ea342bb9044a97764366cc7b2,eth,tinfun,0x8f1e3767,,27,0.07%,27.43%,,,,,,,,,,
0x4ae8cebccd7027820ba83188dfd73ccad0a92806,arb,layerzero,0x126928c4,,27,0.07%,27.50%,,,,,,,,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,arb,0x,0xdac748d4,,26,0.06%,27.56%,,,,,,,,,,
0x95fc37a27a2f68e3a647cdc081f0a89bb47c3012,eth,mantle,0x58a997f6,,26,0.06%,27.63%,,,,,,,,,,
0xd07180c423f9b8cf84012aa28cc174f3c433ee29,zksync,?,0x811a23e0,?,26,0.06%,27.69%,,,,,,,,,,
0xe87753eb91d6a61ea342bb9044a97764366cc7b2,eth,tinfun,0x25d3752b,-,26,0.06%,27.76%,,,,,,,,,,
0x41c914ee0c7e1a5edcd0295623e6dc557b5abf3c,op,velodrome,0x7ac09bf7,,26,0.06%,27.82%,,,,,,,,,,
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,eth,paraswap,0xa6886da9,,26,0.06%,27.89%,,,,,,,,,,
0xe7d3982e214f9dfd53d23a7f72851a7044072250,eth,manifold,0xfa2b068f,,25,0.06%,27.95%,,,,,,,,,,
0x53bf833a5d6c4dda888f69c22c88c9f356a41614,arb,stargate,0xc4de93a5,claim,25,0.06%,28.01%,,,,,,,,,,
0x9774558534036ff2e236331546691b4eb70594b1,arb,stargate,0xe2bbb158,,25,0.06%,28.07%,,,,,,,,,,
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,eth,seaport,0x5b34b966,-,25,0.06%,28.14%,,,,,,,,,,
